Datetime,Acreage,TotalFloor,TotalBedroom,TotalBathroom,HouseUtilities,HouseMinusPoint,RoomMultipurpose,OuterUtilities,HouseType,City,District,Price,million/m2,Longitude,Latitude
2023,40.0,2,2.0,2.0,2,0,0,5,Bán Nhà riêng,TP Hồ Chí Minh,Quận 12,2.95,73.75,106.66420925636413,10.861410750000001
2023,57.0,4,4.0,4.0,2,0,0,3,Bán Nhà riêng,Hà Nội,Thanh Xuân,4.5,78.94736842105263,105.8143014,20.9936873
2023,43.0,2,2.0,2.0,0,0,1,4,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,6.2,144.1860465116279,106.72971280655217,10.737754800000001
2023,38.0,1,5.0,6.0,2,0,4,3,Bán Nhà riêng,Hà Nội,Thanh Xuân,5.75,151.31578947368422,105.8143014,20.9936873
2023,48.37995832585448,6,3.0,2.0,1,0,1,4,Bán Nhà riêng,TP Hồ Chí Minh,Quận 11,5.3,109.54949494381135,106.6475594370616,10.7659529
2023,50.0,5,4.0,4.0,8,0,0,6,Bán Nhà riêng,Hà Nội,Cầu Giấy,6.5,130.0,105.80343767219591,21.02916475
2023,54.0,4,4.0,4.0,1,0,0,6,Bán Nhà riêng,Hà Nội,Thanh Xuân,4.7,87.03703703703704,105.8143014,20.9936873
2023,85.0,3,3.0,3.0,1,0,0,4,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 9,8.8,103.52941176470588,106.7715507,10.8311346
2023,52.0,2,3.0,2.0,0,0,3,5,Bán Nhà riêng,TP Hồ Chí Minh,Quận 10,5.0,96.15384615384616,106.66821544343898,10.7726536
2023,200.0,4,5.0,5.0,4,0,3,6,Bán Nhà riêng,TP Hồ Chí Minh,Quận 12,4.9,24.5,106.66420925636413,10.861410750000001
2023,36.0,11,3.0,3.0,1,0,3,7,Bán Nhà riêng,Bà Rịa Vũng Tàu,Quận 10,5.85,162.5,107.0849144,10.3341955
2023,60.0,2,4.0,2.0,1,0,0,7,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,7.0,116.66666666666669,106.72971280655217,10.737754800000001
2023,36.0,2,2.0,2.0,1,0,0,5,Bán Nhà riêng,TP Hồ Chí Minh,Quận 5,3.7,102.77777777777776,106.61881365691625,10.83488435
2023,85.0,2,4.0,5.0,1,0,3,5,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,13.5,158.8235294117647,106.72971280655217,10.737754800000001
2023,87.0,2,4.0,5.0,1,0,0,2,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,17.0,195.4022988505747,106.72971280655217,10.737754800000001
2023,50.0,2,2.0,1.0,0,0,0,5,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,3.2,64.0,106.72971280655217,10.737754800000001
2023,65.0,1,5.0,4.0,2,0,0,1,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,3.2,49.23076923076923,106.72971280655217,10.737754800000001
2023,44.0,2,2.0,2.0,1,0,0,3,Bán Nhà riêng,TP Hồ Chí Minh,Thủ Đức,4.3,97.72727272727272,106.7617899,10.8298295
2023,65.0,2,2.0,2.0,2,0,3,10,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,6.8,104.6153846153846,106.72971280655217,10.737754800000001
2023,50.0,4,4.0,5.0,0,1,1,3,Bán Nhà mặt phố,Hà Nội,Đống Đa,12.9,258.0,105.77366865,21.075303599999998
2023,79.0,1,3.0,3.0,4,0,2,3,Bán Nhà riêng,TP Hồ Chí Minh,Phú Nhuận,10.9,137.9746835443038,106.6798916250364,10.8010732
2023,40.0,1,5.0,6.0,2,1,3,4,Bán Nhà mặt phố,TP Hồ Chí Minh,Bình Thạnh,9.5,237.5,106.5878711,10.8041602
2023,68.0,1,2.0,2.0,2,0,0,1,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,5.5,80.88235294117646,106.72971280655217,10.737754800000001
2023,100.0,3,4.0,3.0,5,0,4,9,Bán Nhà riêng,TP Hồ Chí Minh,Nhà Bè,13.0,130.0,106.72638246812322,10.650967049999998
2023,75.0,2,3.0,3.0,1,0,1,7,Bán Nhà mặt phố,TP Hồ Chí Minh,Bình Tân,3.8,50.66666666666666,106.65227606400094,10.8030656
2023,74.0,1,3.0,2.0,3,0,0,3,Bán Nhà riêng,TP Hồ Chí Minh,Quận 4,7.8,105.4054054054054,106.70710890359896,10.7607295
2023,35.0,5,3.0,4.0,6,0,1,11,Bán Nhà riêng,Hà Nội,Thanh Xuân,6.5,185.7142857142857,105.8143014,20.9936873
2023,70.0,7,3.0,3.0,3,0,0,4,Bán Nhà riêng,TP Hồ Chí Minh,Quận 6,5.5,78.57142857142857,106.63910717557408,10.745868250000001
2023,45.0,5,4.0,4.0,2,0,0,2,Bán Nhà riêng,Hà Nội,Đống Đa,5.5,122.22222222222224,105.77366865,21.075303599999998
